degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,batch_size,proof_time,proof_size,verify_time
15,10,2,1,14,88,3,100,7.57528755s,4128,15.694024ms
16,5,1,1,15,90,3,100,7.756905591s,2272,12.394939ms
17,3,1,1,16,88,3,100,5.578728413s,1696,18.200067ms
18,2,1,1,17,88,3,100,23.811820625s,1344,53.524794ms
19,1,0,1,18,90,3,100,17.760784492s,960,68.122881ms
